trait	trait_uri	studies	association_counts	papers	Olga's comments
smoking behavior, BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007789	3	277	3	
nicotine dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0009262	3	243	3	
lobe attachment	http://www.ebi.ac.uk/efo/EFO_0007667	3	201	3	
smoking behavior, BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007788	3	163	3	
response to aromatase inhibitor	http://purl.obolibrary.org/obo/GO_0061477	3	157	3	
neutrophil-to-lymphocyte ratio	http://www.ebi.ac.uk/efo/EFO_0008447	3	151	3	
systolic blood pressure, alcohol drinking	http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0004329	3	125	3	
musculoskeletal system disease, response to aromatase inhibitor	http://www.ebi.ac.uk/efo/EFO_0009676, http://purl.obolibrary.org/obo/GO_0061477	3	116	3	
autoimmune thyroid disease	http://www.ebi.ac.uk/efo/EFO_0006812	3	99	3	
keratinocyte carcinoma	http://www.ebi.ac.uk/efo/EFO_0010176	3	88	3	
descending aortic diameter	http://www.ebi.ac.uk/efo/EFO_0021788	3	87	3	
influenza A (H1N1)	http://www.ebi.ac.uk/efo/EFO_1001488	3	83	3	
breast size	http://www.ebi.ac.uk/efo/EFO_0004884	3	72	3	
COVID-19, mortality	http://purl.obolibrary.org/obo/MONDO_0100096, http://www.ebi.ac.uk/efo/EFO_0004352	3	69	3	
clinical ideal cardiovascular health	http://www.ebi.ac.uk/efo/EFO_0007653	3	66	3	
response to beta blocker, heart rate	http://www.ebi.ac.uk/efo/EFO_0007766, http://www.ebi.ac.uk/efo/EFO_0004326	3	64	3	
Ischemic stroke, coronary artery disease	http://purl.obolibrary.org/obo/HP_0002140, http://www.ebi.ac.uk/efo/EFO_0001645	3	61	3	
Henoch-Schoenlein purpura	http://www.ebi.ac.uk/efo/EFO_1000965	3	60	3	
neonatal abstinence syndrome	http://www.ebi.ac.uk/efo/EFO_0005799	3	58	3	
autosomal dominant compelling helio-ophthalmic outburst syndrome	http://www.ebi.ac.uk/efo/EFO_0007887	3	56	3	
response to ketamine	http://www.ebi.ac.uk/efo/EFO_0009748	3	56	3	
small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000702	3	54	3	
Oral cleft	http://purl.obolibrary.org/obo/HP_0000202	3	52	3	
response to angiotensin-converting enzyme inhibitor	http://www.ebi.ac.uk/efo/EFO_0005325	3	52	3	
QRS amplitude, QRS complex	http://www.ebi.ac.uk/efo/EFO_0007742, http://www.ebi.ac.uk/efo/EFO_0005054	3	47	3	
response to paclitaxel	http://purl.obolibrary.org/obo/GO_1901555	3	46	3	
lower urinary tract symptom, benign prostatic hyperplasia	http://www.ebi.ac.uk/efo/EFO_0008008, http://www.ebi.ac.uk/efo/EFO_0000284	3	46	3	
fractures, ununited	http://www.ebi.ac.uk/efo/EFO_0009707	3	44	3	
Dupuytren Contracture	http://www.ebi.ac.uk/efo/EFO_0004229	3	41	3	
migraine without aura, susceptibility to, 4	http://purl.obolibrary.org/obo/MONDO_0011847	3	41	3	
diabetic nephropathy, type 2 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0000401, http://purl.obolibrary.org/obo/MONDO_0005148	3	39	3	
macular telangiectasia type 2	http://www.ebi.ac.uk/efo/EFO_1002009	3	39	3	
multiple system atrophy	http://www.ebi.ac.uk/efo/EFO_1001050	3	38	3	
response to carboplatin	http://purl.obolibrary.org/obo/GO_0097328	3	37	3	
erythrocyte count, mean corpuscular hemoglobin concentration, mean corpuscular volume, hematocrit, mean corpuscular hemoglobin, red blood cell distribution width	http://www.ebi.ac.uk/efo/EFO_0004305, http://www.ebi.ac.uk/efo/EFO_0004528, http://www.ebi.ac.uk/efo/EFO_0004526, http://www.ebi.ac.uk/efo/EFO_0004348, http://www.ebi.ac.uk/efo/EFO_0004527, http://www.ebi.ac.uk/efo/EFO_0005192	3	35	3	
RR interval	http://www.ebi.ac.uk/efo/EFO_0004831	3	34	3	
clinical and behavioural ideal cardiovascular health	http://www.ebi.ac.uk/efo/EFO_0007654	3	34	3	
putamen volume	http://www.ebi.ac.uk/efo/EFO_0006932	3	33	3	
vesicoureteral reflux	http://www.ebi.ac.uk/efo/EFO_0007536	3	33	3	
behavior	http://purl.obolibrary.org/obo/GO_0007610	3	32	3	
Chagas cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0005529	3	32	3	
Tourette syndrome	http://www.ebi.ac.uk/efo/EFO_0004895	3	31	3	
esophageal adenocarcinoma, Barrett's esophagus	http://www.ebi.ac.uk/efo/EFO_0000478, http://www.ebi.ac.uk/efo/EFO_0000280	3	30	3	
anterior uveitis	http://www.ebi.ac.uk/efo/EFO_1000811	3	30	3	
colorectal adenoma	http://www.ebi.ac.uk/efo/EFO_0005406	3	30	3	
Hepatic fibrosis	http://purl.obolibrary.org/obo/HP_0001395	3	29	3	
attention deficit hyperactivity disorder, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0000289	3	29	3	
total hip arthroplasty, osteoarthritis	http://www.ebi.ac.uk/efo/EFO_0009806, http://purl.obolibrary.org/obo/MONDO_0005178	3	29	3	
Stevens-Johnson syndrome, toxic epidermal necrolysis, response to cold medicine	http://www.ebi.ac.uk/efo/EFO_0004276, http://www.ebi.ac.uk/efo/EFO_0004775, http://www.ebi.ac.uk/efo/EFO_0006997	3	29	3	
spontaneous coronary artery dissection	http://www.ebi.ac.uk/efo/EFO_0010820	3	28	3	
delirium	http://www.ebi.ac.uk/efo/EFO_0009267	3	27	3	
Brugada syndrome	http://purl.obolibrary.org/obo/MONDO_0015263	3	27	3	Cardiovascular
hypospadias	http://www.ebi.ac.uk/efo/EFO_0004209	3	26	3	
odontogenesis	http://purl.obolibrary.org/obo/GO_0042476	3	26	3	
cutaneous mastocytosis	http://www.ebi.ac.uk/efo/EFO_1000886	3	25	3	
migraine with aura	http://purl.obolibrary.org/obo/MONDO_0005475	3	23	3	
non-alcoholic fatty liver disease, cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0003095, http://www.ebi.ac.uk/efo/EFO_0001422	3	23	3	
infantile hypertrophic pyloric stenosis	http://www.ebi.ac.uk/efo/EFO_0004707	3	22	3	
response to methotrexate	http://purl.obolibrary.org/obo/GO_0031427	3	21	3	
myeloproliferative disorder	http://www.ebi.ac.uk/efo/EFO_0004251	3	21	3	
disease free survival	http://www.ebi.ac.uk/efo/EFO_0000409	3	21	3	
aortic root size	http://www.ebi.ac.uk/efo/EFO_0005037	3	21	3	
immune system disease	http://www.ebi.ac.uk/efo/EFO_0000540	3	21	3	
posterior urethral valve	http://purl.obolibrary.org/obo/MONDO_0019640	3	20	3	
human papilloma virus infection	http://www.ebi.ac.uk/efo/EFO_0001668	3	19	3	
suicide	http://www.ebi.ac.uk/efo/EFO_0007624	3	19	3	
Glycosuria	http://purl.obolibrary.org/obo/HP_0003076	3	18	3	
Periodontal Pocket	http://www.ebi.ac.uk/efo/EFO_1001393	3	18	3	
Febrile seizure (within the age range of 3 months to 6 years)	http://purl.obolibrary.org/obo/HP_0002373	3	18	3	
limited scleroderma	http://www.ebi.ac.uk/efo/EFO_1001017	3	18	3	
lean mass-adjusted fat body mass	http://www.ebi.ac.uk/efo/EFO_0009890	3	17	3	Glucose homeostais/obesiy
bowel opening frequency	http://www.ebi.ac.uk/efo/EFO_0600084	3	17	3	
cannabis dependence	http://www.ebi.ac.uk/efo/EFO_0007191	3	15	3	
diabetes mellitus biomarker	http://www.ebi.ac.uk/efo/EFO_0006842	3	15	3	
chronic widespread pain	http://www.ebi.ac.uk/efo/EFO_0010099	3	15	3	
infant head circumference	http://www.ebi.ac.uk/efo/EFO_0004577	3	14	3	
nevus count	http://www.ebi.ac.uk/efo/EFO_0004632	3	14	3	
left atrial function	http://www.ebi.ac.uk/efo/EFO_0004294	3	13	3	
healthspan	http://www.ebi.ac.uk/efo/EFO_0009762	3	13	3	
ulcerative colitis, Crohn's disease	http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384	3	13	3	Inflammation
wet macular degeneration	http://www.ebi.ac.uk/efo/EFO_0004683	3	13	3	
osteoarthritis, hip, osteoarthritis, knee, total joint arthroplasty	http://www.ebi.ac.uk/efo/EFO_1000786, http://www.ebi.ac.uk/efo/EFO_0004616, http://www.ebi.ac.uk/efo/EFO_0010726	3	13	3	
seborrheic dermatitis	http://www.ebi.ac.uk/efo/EFO_1000764	3	12	3	
neck circumference	http://www.ebi.ac.uk/efo/EFO_0011043	3	12	3	
age of onset of frontotemporal dementia	http://purl.obolibrary.org/obo/OBA_2001022	3	12	3	
Stevens-Johnson syndrome, toxic epidermal necrolysis	http://www.ebi.ac.uk/efo/EFO_0004276, http://www.ebi.ac.uk/efo/EFO_0004775	3	11	3	
nodular sclerosis Hodgkin lymphoma	http://www.ebi.ac.uk/efo/EFO_0004708	3	11	3	
overall survival	http://www.ebi.ac.uk/efo/EFO_0000638	3	11	3	
alcohol and nicotine codependence	http://www.ebi.ac.uk/efo/EFO_0004776	3	10	3	
Ewing sarcoma	http://www.ebi.ac.uk/efo/EFO_0000174	3	10	3	
spine bone size	http://www.ebi.ac.uk/efo/EFO_0004508	3	10	3	
cesarean section, intelligence	http://www.ebi.ac.uk/efo/EFO_0009636, http://www.ebi.ac.uk/efo/EFO_0004337	3	10	3	
diverticulitis	http://www.ebi.ac.uk/efo/EFO_1001460	3	10	3	
Somnambulism	http://purl.obolibrary.org/obo/HP_0025236	3	9	3	
Left ventricular mass to end-diastolic volume ratio	http://www.ebi.ac.uk/efo/EFO_0010556	3	9	3	
temporal arteritis	http://www.ebi.ac.uk/efo/EFO_1001209	3	8	3	
neuromyelitis optica	http://www.ebi.ac.uk/efo/EFO_0004256	3	8	3	
response to bisphosphonate, osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0009958, http://www.ebi.ac.uk/efo/EFO_0004259	3	8	3	
outer ear morphology trait	http://www.ebi.ac.uk/efo/EFO_0007664	3	8	3	
unipolar depression, multiple sclerosis	http://www.ebi.ac.uk/efo/EFO_0003761, http://purl.obolibrary.org/obo/MONDO_0005301	3	8	3	
urgency urinary incontinence	http://www.ebi.ac.uk/efo/EFO_0006865	3	8	3	
Churg-Strauss syndrome	http://www.ebi.ac.uk/efo/EFO_0007208	3	8	3	
exercise	http://www.ebi.ac.uk/efo/EFO_0000483	3	8	3	
gallbladder neoplasm	http://www.ebi.ac.uk/efo/EFO_0004606	3	7	3	
pulmonary fibrosis	http://www.ebi.ac.uk/efo/EFO_0009448	3	7	3	
diffuse scleroderma	http://www.ebi.ac.uk/efo/EFO_0000404	3	7	3	
male homosexuality	http://www.ebi.ac.uk/efo/EFO_0008486	3	6	3	
sick sinus syndrome	http://purl.obolibrary.org/obo/MONDO_0001823	3	6	3	
survival time, non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0003060	3	6	3	
bipolar II disorder	http://www.ebi.ac.uk/efo/EFO_0009964	3	6	3	
language impairment	http://www.ebi.ac.uk/efo/EFO_0005425	3	6	3	
Granulomatosis with Polyangiitis	http://www.ebi.ac.uk/efo/EFO_0005297	3	6	3	
dermatomyositis	http://www.ebi.ac.uk/efo/EFO_0000398	3	5	3	
uveitis	http://www.ebi.ac.uk/efo/EFO_1001231	3	5	3	
thyroid function	http://www.ebi.ac.uk/efo/EFO_0004296	3	5	3	
obstructive sleep apnea	http://www.ebi.ac.uk/efo/EFO_0003918	3	5	3	
hippocampal CA1 volume	http://www.ebi.ac.uk/efo/EFO_0009394	3	5	3	
remission	http://www.ebi.ac.uk/efo/EFO_0009785	3	5	3	
pulmonary arterial hypertension	http://www.ebi.ac.uk/efo/EFO_0001361	3	5	3	
chronic mucus hypersecretion	http://www.ebi.ac.uk/efo/EFO_0005673	3	5	3	
subiculum volume	http://www.ebi.ac.uk/efo/EFO_0009399	3	5	3	
acute respiratory distress syndrome	http://www.ebi.ac.uk/efo/EFO_1000637	3	5	3	
hyperlipidemia	http://purl.obolibrary.org/obo/MONDO_0021187	3	5	3	Cardiovascular
bacterial meningitis	http://www.ebi.ac.uk/efo/EFO_1000831	3	5	3	
overall survival, response to antineoplastic agent	http://www.ebi.ac.uk/efo/EFO_0000638, http://purl.obolibrary.org/obo/GO_0097327	3	4	3	
developmental dysplasia of the hip	http://www.ebi.ac.uk/efo/EFO_1000648	3	4	3	
ventricular ectopy	http://www.ebi.ac.uk/efo/EFO_0009276	3	4	3	
response to heparin, Thrombocytopenia	http://www.ebi.ac.uk/efo/EFO_0006816, http://purl.obolibrary.org/obo/HP_0001873	3	4	3	
Hepatitis B virus surface antigen seropositivity	http://www.ebi.ac.uk/efo/EFO_0009345	3	4	3	
body mass index, visceral:subcutaneous adipose tissue ratio	http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004767	3	4	3	Glucose homeostasis/obesity
survival time, prostate carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0001663	3	4	3	
survival time, melanoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000756	3	3	3	
remission, response to antidepressant	http://www.ebi.ac.uk/efo/EFO_0009785, http://purl.obolibrary.org/obo/GO_0036276	3	3	3	
overweight body mass index status	http://www.ebi.ac.uk/efo/EFO_0005935	3	3	3	
Ketonuria	http://purl.obolibrary.org/obo/HP_0002919	3	3	3	
BMI-adjusted neck circumference	http://www.ebi.ac.uk/efo/EFO_0011044	3	3	3	
Ischemic stroke, cardiac embolism	http://purl.obolibrary.org/obo/HP_0002140, http://www.ebi.ac.uk/efo/EFO_1001493	3	3	3	
Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	3	3	3	
treatment refractory schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004609	3	3	3	
chronic graft versus host disease	http://purl.obolibrary.org/obo/MONDO_0020547	3	3	3	
type 2 diabetes mellitus, coronary artery disease	http://purl.obolibrary.org/obo/MONDO_0005148, http://www.ebi.ac.uk/efo/EFO_0001645	3	3	3	
osteoarthritis, knee, total joint arthroplasty	http://www.ebi.ac.uk/efo/EFO_0004616, http://www.ebi.ac.uk/efo/EFO_0010726	3	3	3	
drinking behavior	http://www.ebi.ac.uk/efo/EFO_0004315	3	3	3	
atrophic gastritis	http://www.ebi.ac.uk/efo/EFO_1000826	3	2	3	
disease recurrence, response to tafenoquine	http://www.ebi.ac.uk/efo/EFO_0004952, http://www.ebi.ac.uk/efo/EFO_0010808	3	2	3	
estrogen receptor status	http://www.ebi.ac.uk/efo/EFO_0005512	3	2	3	
disease recurrence, response to allogeneic hematopoietic stem cell transplant	http://www.ebi.ac.uk/efo/EFO_0004952, http://www.ebi.ac.uk/efo/EFO_0007044	3	2	3	
able to hear with hearing aids	http://www.ebi.ac.uk/efo/EFO_0009720	3	2	3	
overall survival, ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0001075	3	2	3	
vasculitis	http://www.ebi.ac.uk/efo/EFO_0006803	3	2	3	
survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0007613	3	2	3	
response to placebo	http://www.ebi.ac.uk/efo/EFO_0008344	3	2	3	
response to fluoropyrimidines	http://www.ebi.ac.uk/efo/EFO_0010825	3	2	3	
underweight body mass index status	http://www.ebi.ac.uk/efo/EFO_0005936	3	2	3	
typhoid fever	http://www.ebi.ac.uk/efo/EFO_0006789	3	2	3	
cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005221	3	2	3	
response to duloxetine	http://www.ebi.ac.uk/efo/EFO_0008345	3	2	3	
thyroid nodule	http://www.ebi.ac.uk/efo/EFO_1001436	3	2	3	
Cholecystitis, Acute	http://www.ebi.ac.uk/efo/EFO_1001289	3	1	3	
survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1000649, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0009780, http://www.ebi.ac.uk/efo/EFO_0009782	3	1	3	
stress-related disorder	http://www.ebi.ac.uk/efo/EFO_0010098	3	1	3	
colorectal cancer, hormone replacement therapy	http://www.ebi.ac.uk/efo/EFO_0005842, http://www.ebi.ac.uk/efo/EFO_0003961	3	1	3	
overall survival, breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0000305	3	1	3	
chronic disease	http://www.ebi.ac.uk/efo/EFO_0009714	3	1	3	
diabetes mellitus, family history	http://www.ebi.ac.uk/efo/EFO_0000400, http://www.ebi.ac.uk/efo/EFO_0000493	3	1	3	
Epiphora	http://purl.obolibrary.org/obo/HP_0009926	3	1	3	
alcohol withdrawal	http://www.ebi.ac.uk/efo/EFO_0004777	3	1	3	
response to candesartan, hypotension	http://purl.obolibrary.org/obo/GO_1901556, http://www.ebi.ac.uk/efo/EFO_0005251	3	0	3	
seborrheic keratosis	http://www.ebi.ac.uk/efo/EFO_0005584	3	0	3	
stroke, family history	http://www.ebi.ac.uk/efo/EFO_0000712, http://www.ebi.ac.uk/efo/EFO_0000493	3	0	3	
Ascites	http://purl.obolibrary.org/obo/HP_0001541	3	0	3	
osteoarthritis, spine	http://www.ebi.ac.uk/efo/EFO_1000787	3	0	3	
Hammer Toe Syndrome	http://www.ebi.ac.uk/efo/EFO_1001336	3	0	3	
Abnormality of the gastrointestinal tract	http://purl.obolibrary.org/obo/HP_0011024	3	0	3	
kidney failure	http://www.ebi.ac.uk/efo/EFO_1002048	3	0	3	
Abnormal glucose homeostasis	http://purl.obolibrary.org/obo/HP_0011014	3	0	3	
Esophagitis	http://purl.obolibrary.org/obo/HP_0100633	3	0	3	
Ectopic pregnancy	http://purl.obolibrary.org/obo/HP_0031456	3	0	3	
Hematemesis	http://purl.obolibrary.org/obo/HP_0002248	3	0	3	
corneal disease	http://www.ebi.ac.uk/efo/EFO_0009464	3	0	3	
headache disorder	http://www.ebi.ac.uk/efo/EFO_0009550	3	0	3	
emphysema, family history, chronic bronchitis	http://www.ebi.ac.uk/efo/EFO_0000464, http://www.ebi.ac.uk/efo/EFO_0000493, http://www.ebi.ac.uk/efo/EFO_0006505	3	0	3	
Polyuria	http://purl.obolibrary.org/obo/HP_0000103	3	0	3	
response to candesartan, Hyperkalemia	http://purl.obolibrary.org/obo/GO_1901556, http://purl.obolibrary.org/obo/HP_0002153	3	0	3	
nephritis	http://www.ebi.ac.uk/efo/EFO_1002050	3	0	3	
age at onset, hormone replacement therapy	http://www.ebi.ac.uk/efo/EFO_0004847, http://www.ebi.ac.uk/efo/EFO_0003961	3	0	3	
hysterectomy	http://www.ebi.ac.uk/efo/EFO_0003881	3	0	3	
tongue neoplasm	http://www.ebi.ac.uk/efo/EFO_0003871	3	0	3	
cartilage disease	http://www.ebi.ac.uk/efo/EFO_0005802	3	0	3	
Malignant Urinary System Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000363	3	0	3	
unipolar depression, family history	http://www.ebi.ac.uk/efo/EFO_0003761, http://www.ebi.ac.uk/efo/EFO_0000493	3	0	3	
autoimmune thrombocytopenic purpura	http://www.ebi.ac.uk/efo/EFO_0007160	3	0	3	
pigmentation disease	http://www.ebi.ac.uk/efo/EFO_1000755	3	0	3	
chronic ulcer of skin	http://www.ebi.ac.uk/efo/EFO_0007066	3	0	3	
femur fracture	http://www.ebi.ac.uk/efo/EFO_0008553	3	0	3	
malaise, Fatigue	http://www.ebi.ac.uk/efo/EFO_0009641, http://purl.obolibrary.org/obo/HP_0012378	3	0	3	
Follicular Cyst	http://www.ebi.ac.uk/efo/EFO_1001329	3	0	3	
ptosis	http://purl.obolibrary.org/obo/MONDO_0000728	3	0	3	
Dyspareunia	http://purl.obolibrary.org/obo/HP_0030016	3	0	3	
amnesia	http://www.ebi.ac.uk/efo/EFO_1001454	3	0	3	
hemiplegia, Hemiparesis	http://www.ebi.ac.uk/efo/EFO_0009453, http://purl.obolibrary.org/obo/HP_0001269	3	0	3	
Arthropathy	http://purl.obolibrary.org/obo/HP_0003040	3	0	3	
bladder neck obstruction	http://www.ebi.ac.uk/efo/EFO_1000840	3	0	3	
First degree atrioventricular block	http://purl.obolibrary.org/obo/HP_0011705	3	0	3	
hematopoietic and lymphoid system neoplasm	http://purl.obolibrary.org/obo/MONDO_0002334	3	0	3	
common cold	http://www.ebi.ac.uk/efo/EFO_0007214	3	0	3	
achievement of target heart rate, self-reported	http://www.ebi.ac.uk/efo/EFO_0009823	3	0	3	
response to candesartan, impaired renal function disease	http://purl.obolibrary.org/obo/GO_1901556, http://purl.obolibrary.org/obo/MONDO_0001343	3	0	3	
lymphangioma, hemangioma	http://purl.obolibrary.org/obo/MONDO_0002013, http://www.ebi.ac.uk/efo/EFO_1000635	3	0	3	
pharyngitis	http://purl.obolibrary.org/obo/MONDO_0002258	3	0	3	
Abnormal cardiac septum morphology	http://purl.obolibrary.org/obo/HP_0001671	3	0	3	
alcohol withdrawal delirium	http://www.ebi.ac.uk/efo/EFO_1000800	3	0	3	
T wave duration	http://www.ebi.ac.uk/efo/EFO_0011034	3	0	3	
trigeminal nerve disease	http://www.ebi.ac.uk/efo/EFO_0009569	3	0	3	
biliary tract cancer	http://purl.obolibrary.org/obo/MONDO_0003060	3	0	3	
musculoskeletal system disease	http://www.ebi.ac.uk/efo/EFO_0009676	3	0	3	
external ear disease	http://www.ebi.ac.uk/efo/EFO_0009668	3	0	3	
Skull Fractures	http://www.ebi.ac.uk/efo/EFO_1001425	3	0	3	
carcinoma	http://www.ebi.ac.uk/efo/EFO_0000313	3	0	3	
primary pulmonary hypertension	http://purl.obolibrary.org/obo/MONDO_0001999	3	0	3	
common wart	http://www.ebi.ac.uk/efo/EFO_0009662	3	0	3	
family history, Parkinson disease	http://www.ebi.ac.uk/efo/EFO_0000493, http://purl.obolibrary.org/obo/MONDO_0005180	3	0	3	
Hemoptysis	http://purl.obolibrary.org/obo/HP_0002105	3	0	3	
Tendon rupture	http://purl.obolibrary.org/obo/HP_0100550	3	0	3	
Conjunctival Disorder	http://www.ebi.ac.uk/efo/EFO_1000203	3	0	3	
cecum cancer	http://purl.obolibrary.org/obo/MONDO_0002033	3	0	3	
hypertension, family history	http://www.ebi.ac.uk/efo/EFO_0000537, http://www.ebi.ac.uk/efo/EFO_0000493	3	0	3	
irregular respiration	http://www.ebi.ac.uk/efo/EFO_0009841	3	0	3	
colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_1001951	3	0	3	
stricture	http://www.ebi.ac.uk/efo/EFO_0006818	3	0	3	
bone neoplasm	http://www.ebi.ac.uk/efo/EFO_0003820	3	0	3	
intestinal infectious disease	http://purl.obolibrary.org/obo/MONDO_0000916	3	0	3	
Hypovolemia	http://purl.obolibrary.org/obo/HP_0011106	3	0	3	
neutropenia	http://purl.obolibrary.org/obo/MONDO_0001475	3	0	3	
testicular hydrocele	http://www.ebi.ac.uk/efo/EFO_1001859	3	0	3	
Genital neoplasm, female	http://www.ebi.ac.uk/efo/EFO_1001331	3	0	3	
gangrene	http://www.ebi.ac.uk/efo/EFO_0008574	3	0	3	
endocarditis	http://www.ebi.ac.uk/efo/EFO_0000465	3	0	3	
chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	3	0	3	
Second degree atrioventricular block	http://purl.obolibrary.org/obo/HP_0011706	3	0	3	
Bradycardia	http://purl.obolibrary.org/obo/HP_0001662	3	0	3	
peritonsillar abscess	http://www.ebi.ac.uk/efo/EFO_0007429	3	0	3	
Iridocyclitis	http://purl.obolibrary.org/obo/HP_0001094	3	0	3	
Hydrocephalus	http://purl.obolibrary.org/obo/HP_0000238	3	0	3	
intraductal breast neoplasm	http://purl.obolibrary.org/obo/MONDO_0002488	3	0	3	
cholesteatoma of middle ear	http://www.ebi.ac.uk/efo/EFO_1000678	3	0	3	
polyp	http://www.ebi.ac.uk/efo/EFO_0000662	3	0	3	
intestinal cancer, family history	http://www.ebi.ac.uk/efo/EFO_0007330, http://www.ebi.ac.uk/efo/EFO_0000493	3	0	3	
Breast hypertrophy	http://purl.obolibrary.org/obo/HP_0010313	3	0	3	
jaw disease	http://www.ebi.ac.uk/efo/EFO_0009468	3	0	3	
Cholangitis	http://purl.obolibrary.org/obo/HP_0030151	3	0	3	
uterine carcinoma	http://www.ebi.ac.uk/efo/EFO_0002919	3	0	3	
